id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,评论人ID,评论人昵称,评论时间,评论内容,点赞次数
5007628647009764,O3csgtpyI,1833014722,sara小姐啦,连着看了两天电影贾玲和张艺谋真的是不在一个级别上啊。没有减肥这块儿热辣滚烫真是啥也不是。赵丽颖真老牛了。看的我和我妹嘿嘿嘿的。。我这个照片和今天想说的话无关。我这衣服让我爹看见了非给我剪了不行。可以露胸。但不能有网。。,,泰安·泰山风景名胜区,,,0,2,7,2024-03-02 23:59,iPhone客户端,https://wx4.sinaimg.cn/large/6d4195c2ly1hnd37xe9pxj21c82ds1kx.jpg,,,山东,普通用户,1967126841,大吉大利王大兴,Sun Mar 03 19:35:51 +0800 2024,"so  sexy <span class=""url-icon""><img alt=[嘻嘻] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_xixi-643ef6e48d.png"" style=""width:1em; height:1em;"" /></span>",0
5007628647009764,O3csgtpyI,1833014722,sara小姐啦,连着看了两天电影贾玲和张艺谋真的是不在一个级别上啊。没有减肥这块儿热辣滚烫真是啥也不是。赵丽颖真老牛了。看的我和我妹嘿嘿嘿的。。我这个照片和今天想说的话无关。我这衣服让我爹看见了非给我剪了不行。可以露胸。但不能有网。。,,泰安·泰山风景名胜区,,,0,2,7,2024-03-02 23:59,iPhone客户端,https://wx4.sinaimg.cn/large/6d4195c2ly1hnd37xe9pxj21c82ds1kx.jpg,,,山东,普通用户,7797964470,Gululu07,Sun Mar 03 00:50:12 +0800 2024,这也太性感了,0
5007628553421180,O3cs7em0k,5388247729,久久kyx,#电影热辣滚烫#看完这部电影，只想说:贾玲真的太牛啦！！！虽然网上已经看到过她瘦下来的样子，看到了很多关于电影的观后感，可是当自己在大荧幕上看到她蜕变的过程才理解里那种震撼！看到她准备去参加拳击比赛，去学习拳击，然后是她在训练过程中的蜕变，到最后比赛上场以前，她走出来的时候那个坚定凌厉的眼神，力量感十足的肌肉，还有她和以前的自己对视，以前的她对现在的她说加油！电影里有几个点简直看的落泪，一个是送你一朵小红花的bgm想起来的时候，说不上是什么原因，只觉得酸涩好像又是重生，还有一个就是杜乐莹在风雨夜里从窗户里跳下去的画面，她回头流泪的样子。当彩蛋里有工作人员的声音喊她:导演，吃蛋糕，那一刻觉得真好，电影里杜乐莹赢了，现实里她也赢了！她证明了她可以成为更好的自己，也证明了她作为导演的绝对实力！贾导,,,,电影热辣滚烫,0,1,0,2024-03-02 23:59,vivo S15,https://wx1.sinaimg.cn/large/005SExnrgy1hnd2rqwna3j30u0140jwk.jpg,,,浙江,普通用户,5878659096,超话社区,Sat Mar 02 23:59:07 +0800 2024,"你好，你感兴趣的“电影热辣滚烫”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a  href=""https://m.weibo.cn/p/index?extparam=%E7%94%B5%E5%BD%B1%E7%83%AD%E8%BE%A3%E6%BB%9A%E7%83%AB&containerid=100808670394ef71f91b425e30ed76e5211d83"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">电影热辣滚烫</span></a>",0
5007628164139363,O3cruhmPV,1778024391,momo11205200,假疼cp超话我现在想看沈腾第一次见到瘦了的贾玲会说什么的这个心情已经达到了顶峰,,,,,0,4,18,2024-03-02 23:57,假疼cp超话,"https://wx2.sinaimg.cn/large/69fa7fc7gy1hnd380bnzej20y0230drw.jpg,https://wx1.sinaimg.cn/large/69fa7fc7gy1hnd381dhnpj20y0230k2e.jpg",,,广西,普通用户,7753469466,问情远方,Sat Aug 31 03:36:34 +0800 2024,"<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>",0
5007628164139363,O3cruhmPV,1778024391,momo11205200,假疼cp超话我现在想看沈腾第一次见到瘦了的贾玲会说什么的这个心情已经达到了顶峰,,,,,0,4,18,2024-03-02 23:57,假疼cp超话,"https://wx2.sinaimg.cn/large/69fa7fc7gy1hnd380bnzej20y0230drw.jpg,https://wx1.sinaimg.cn/large/69fa7fc7gy1hnd381dhnpj20y0230k2e.jpg",,,广西,普通用户,6613162555,千岑溪,Sun Mar 03 18:09:08 +0800 2024,《全网都在等沈腾贾玲见面》,5
5007628164139363,O3cruhmPV,1778024391,momo11205200,假疼cp超话我现在想看沈腾第一次见到瘦了的贾玲会说什么的这个心情已经达到了顶峰,,,,,0,4,18,2024-03-02 23:57,假疼cp超话,"https://wx2.sinaimg.cn/large/69fa7fc7gy1hnd380bnzej20y0230drw.jpg,https://wx1.sinaimg.cn/large/69fa7fc7gy1hnd381dhnpj20y0230k2e.jpg",,,广西,普通用户,7753469466,问情远方,Wed Aug 28 03:03:15 +0800 2024,"<span class=""url-icon""><img alt=[心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[心] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/l_xin-43af9086c0.png"" style=""width:1em; height:1em;"" /></span>",0
5007628164139363,O3cruhmPV,1778024391,momo11205200,假疼cp超话我现在想看沈腾第一次见到瘦了的贾玲会说什么的这个心情已经达到了顶峰,,,,,0,4,18,2024-03-02 23:57,假疼cp超话,"https://wx2.sinaimg.cn/large/69fa7fc7gy1hnd380bnzej20y0230drw.jpg,https://wx1.sinaimg.cn/large/69fa7fc7gy1hnd381dhnpj20y0230k2e.jpg",,,广西,普通用户,3241998775,2019三十闫实,Mon Mar 04 18:31:28 +0800 2024,"等着<span class=""url-icon""><img alt=[抱一抱] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/co_a1hug-f3910d0e88.png"" style=""width:1em; height:1em;"" /></span>",0
5007627983783064,O3crcfS9a,5535619140,五月天与山城晚风,#电影热辣滚烫#姐，你好帅，你赢了@贾玲,,,贾玲,电影热辣滚烫,0,1,0,2024-03-02 23:56,iPhone 15 Pro,"https://wx2.sinaimg.cn/large/0062CTpGly1hnd37m8p3xj30u00uswkk.jpg,https://wx2.sinaimg.cn/large/0062CTpGly1hnd37miva4j30u018o41j.jpg",,,江苏,普通用户,5878659096,超话社区,Sat Mar 02 23:56:51 +0800 2024,"你好，你感兴趣的“电影热辣滚烫”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a  href=""https://m.weibo.cn/p/index?extparam=%E7%94%B5%E5%BD%B1%E7%83%AD%E8%BE%A3%E6%BB%9A%E7%83%AB&containerid=100808670394ef71f91b425e30ed76e5211d83"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">电影热辣滚烫</span></a>",0
5007627173497980,O3cpTeFZ2,5797955746,在迦南的那一边,终于能明白贾玲说的那句：我就知道大家看完电影能知道这不是一部减肥电影。这确实不是一部减肥电影，我理解的是，女主很善良，但她的善良却从来没让她做过她自己，她可以是很多角色，但她从来不是自己，就像贾玲，她可以是相声演员，可以是喜剧演员，但这一次她想像女主一样，做自己，所以她一直说她可以打完那场比赛，她知道她不会赢，但她就是要去做，是的，她赢了，她早就赢了，虽然这部电影是翻拍，也不能否认它的主题和立意，每个人都有做自己的权利，一切都还来得及，没有你这世界会消失的，你现在要做的就是好好爱自己。（本来以为不会看哭的还是看哭了）,,,,,0,4,3,2024-03-02 23:53,,"https://wx1.sinaimg.cn/large/006knD9ggy1hnd34o7kxqj33402c0qv5.jpg,https://wx3.sinaimg.cn/large/006knD9ggy1hnd34tkaa7j33402c0u0x.jpg,https://wx4.sinaimg.cn/large/006knD9ggy1hnd34yrbf6j33402c0e81.jpg,https://wx1.sinaimg.cn/large/006knD9ggy1hnd352z4wuj33402c0u0x.jpg",,,广东,普通用户,5580237149,单纯人类保护bot,Sun Mar 03 17:58:29 +0800 2024,"哪怕这真的只是一部减肥电影，又怎么样呢。不是所有人都做得到。<span class=""url-icon""><img alt=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" style=""width:1em; height:1em;"" /></span>",0
5007627173497980,O3cpTeFZ2,5797955746,在迦南的那一边,终于能明白贾玲说的那句：我就知道大家看完电影能知道这不是一部减肥电影。这确实不是一部减肥电影，我理解的是，女主很善良，但她的善良却从来没让她做过她自己，她可以是很多角色，但她从来不是自己，就像贾玲，她可以是相声演员，可以是喜剧演员，但这一次她想像女主一样，做自己，所以她一直说她可以打完那场比赛，她知道她不会赢，但她就是要去做，是的，她赢了，她早就赢了，虽然这部电影是翻拍，也不能否认它的主题和立意，每个人都有做自己的权利，一切都还来得及，没有你这世界会消失的，你现在要做的就是好好爱自己。（本来以为不会看哭的还是看哭了）,,,,,0,4,3,2024-03-02 23:53,,"https://wx1.sinaimg.cn/large/006knD9ggy1hnd34o7kxqj33402c0qv5.jpg,https://wx3.sinaimg.cn/large/006knD9ggy1hnd34tkaa7j33402c0u0x.jpg,https://wx4.sinaimg.cn/large/006knD9ggy1hnd34yrbf6j33402c0e81.jpg,https://wx1.sinaimg.cn/large/006knD9ggy1hnd352z4wuj33402c0u0x.jpg",,,广东,普通用户,5509101385,零碎小土豆rr,Sun Mar 03 00:43:16 +0800 2024,"我还是没去看<span class=""url-icon""><img alt=""[融化]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/53/2022_melt_org.png"" style=""width:1em; height:1em;"" /></span>",1
5007626934421123,O3cpviy8r,1585511954,Vicky_宅猫17,#电影热辣滚烫#终于上了热辣滚烫的末班车。不想讨论女性自强自立的内核，也不谈剧中bug。单是贾玲减肥那段就看着我嗷嗷热泪，想到同样减肥成功的闺蜜，背影简直完全重合。减肥的法子有很多种，贾导演选了个最苦的。真的不容易。致敬🫡,,,,电影热辣滚烫,0,3,7,2024-03-02 23:52,iPhone客户端,https://wx3.sinaimg.cn/large/5e80fe12gy1hnd33v7maaj24eo3b0hdt.jpg,,,福建,普通用户,3337075840,户外天狼,Mon Mar 04 15:42:45 +0800 2024,"闺蜜微博是哪个看看<span class=""url-icon""><img alt=[doge] src=""https://h5.sinaimg.cn/m/emoticon/icon/others/d_doge-be7f768d78.png"" style=""width:1em; height:1em;"" /></span>",6
5007626934421123,O3cpviy8r,1585511954,Vicky_宅猫17,#电影热辣滚烫#终于上了热辣滚烫的末班车。不想讨论女性自强自立的内核，也不谈剧中bug。单是贾玲减肥那段就看着我嗷嗷热泪，想到同样减肥成功的闺蜜，背影简直完全重合。减肥的法子有很多种，贾导演选了个最苦的。真的不容易。致敬🫡,,,,电影热辣滚烫,0,3,7,2024-03-02 23:52,iPhone客户端,https://wx3.sinaimg.cn/large/5e80fe12gy1hnd33v7maaj24eo3b0hdt.jpg,,,福建,普通用户,5878659096,超话社区,Sat Mar 02 23:52:41 +0800 2024,"你好，你感兴趣的“电影热辣滚烫”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a  href=""https://m.weibo.cn/p/index?extparam=%E7%94%B5%E5%BD%B1%E7%83%AD%E8%BE%A3%E6%BB%9A%E7%83%AB&containerid=100808670394ef71f91b425e30ed76e5211d83"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">电影热辣滚烫</span></a>",0
5007266111556572,O331x6wW0,5957546407,NINE_85,今天终于有时间去看了《热辣滚烫》🎬虽然之前已经看过很多的视频、剧照、采访也见过贾玲瘦下来的样子但看到乐莹带着拳击手套走出来那一刻还是非常震撼🫨整个过程不管电影还是彩蛋真的爆哭了好多次贾玲真的太优秀了！太牛了！！！（已经不知道该怎么形容了）（还有送你一朵小红花的ost)#电影热辣滚烫#,,,,电影热辣滚烫,0,2,1,2024-03-01 23:58,iPhone客户端,https://wx3.sinaimg.cn/large/006vbfYbly1hnbxoj4aqkj33uw5egnpo.jpg,,,江苏,普通用户,5639971477,不气不想不问,Sat Mar 02 07:31:41 +0800 2024,我在电影院哭的无法自拔，小红花太好哭了,0
5007265990180900,O331l0L3K,6047935923,飝鸽不传书,#热辣滚烫#想说的有很多，心疼贾玲,,榆林·金佰影城,,热辣滚烫,0,1,1,2024-03-01 23:58,iPhone客户端,"https://wx4.sinaimg.cn/large/006BiwpBly1hnbxlzopydj33402c0kjm.jpg,https://wx4.sinaimg.cn/large/006BiwpBly1hnbxlxnyh4j33402c04qq.jpg,https://wx4.sinaimg.cn/large/006BiwpBly1hnbxlunhf3j33402c0x6p.jpg,https://wx2.sinaimg.cn/large/006BiwpBly1hnbxm11kikj33402c0hdt.jpg,https://wx2.sinaimg.cn/large/006BiwpBly1hnbxlvwvyaj33402c0npd.jpg,https://wx1.sinaimg.cn/large/006BiwpBly1hnbxm29ls5j33402c0qv5.jpg,https://wx1.sinaimg.cn/large/006BiwpBly1hnbxm3qql5j33402c0kjl.jpg,https://wx4.sinaimg.cn/large/006BiwpBly1hnbxm5m5n6j33402c0e81.jpg,https://wx4.sinaimg.cn/large/006BiwpBly1hnbxm6afz1j33402c0qer.jpg",,,陕西,普通用户,5878659096,超话社区,Fri Mar 01 23:58:25 +0800 2024,"你好，你感兴趣的“热辣滚烫”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; <a  href=""https://m.weibo.cn/p/index?extparam=%E7%83%AD%E8%BE%A3%E6%BB%9A%E7%83%AB&containerid=100808f554c65c8ba4c11b8af9d07250ba93b3"" data-hide=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://n.sinaimg.cn/photo/5213b46e/20180926/timeline_card_small_super_default.png'></span><span class=""surl-text"">热辣滚烫</span></a>",0
