id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,评论人ID,评论人昵称,评论时间,评论内容,点赞次数
5018500406183895,O7LhmpWIf,7436287074,王牌队长,早期入坑白月光图之二Cr.logo#迪丽热巴#L王牌队长的微博视频,,,,迪丽热巴,3,4,23,2024-04-01 23:59,迪丽热巴超话,,"http://f.video.weibocdn.com/o0/xoSJk23Olx08dKB9Q7fy010412003Pdk0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1741872518&ssig=S2u2JF5W0u&KID=unistore,video",,福建,普通用户,1638512560,123啾咪,Tue Apr 02 01:25:05 +0800 2024,"好可爱好可爱<span class=""url-icon""><img alt=""[爱橙橙]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/58/2024_loveorange_org.png"" style=""width:1em; height:1em;"" /></span>",0
5018500406183895,O7LhmpWIf,7436287074,王牌队长,早期入坑白月光图之二Cr.logo#迪丽热巴#L王牌队长的微博视频,,,,迪丽热巴,3,4,23,2024-04-01 23:59,迪丽热巴超话,,"http://f.video.weibocdn.com/o0/xoSJk23Olx08dKB9Q7fy010412003Pdk0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1741872518&ssig=S2u2JF5W0u&KID=unistore,video",,福建,普通用户,7495185660,枯萎小葵-见过热巴,Tue Apr 02 00:00:27 +0800 2024,"<span class=""url-icon""><img alt=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" style=""width:1em; height:1em;"" /></span>",0
5018500406183895,O7LhmpWIf,7436287074,王牌队长,早期入坑白月光图之二Cr.logo#迪丽热巴#L王牌队长的微博视频,,,,迪丽热巴,3,4,23,2024-04-01 23:59,迪丽热巴超话,,"http://f.video.weibocdn.com/o0/xoSJk23Olx08dKB9Q7fy010412003Pdk0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1741872518&ssig=S2u2JF5W0u&KID=unistore,video",,福建,普通用户,7453059063,Dear-吃口肉丸子,Tue Apr 02 00:00:56 +0800 2024,"<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>",0
5018500406183895,O7LhmpWIf,7436287074,王牌队长,早期入坑白月光图之二Cr.logo#迪丽热巴#L王牌队长的微博视频,,,,迪丽热巴,3,4,23,2024-04-01 23:59,迪丽热巴超话,,"http://f.video.weibocdn.com/o0/xoSJk23Olx08dKB9Q7fy010412003Pdk0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1741872518&ssig=S2u2JF5W0u&KID=unistore,video",,福建,普通用户,7579219017,piDrit_92,Tue Apr 02 00:00:42 +0800 2024,"可爱宝宝<span class=""url-icon""><img alt=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" style=""width:1em; height:1em;"" /></span>",0
5018500326229249,O7Lheq8vL,3541463921,dearppdearme,愚人节是迪丽热巴的美貌大赏日#八十家站姐发了迪丽热巴##愚人节站姐团建#,,,,"八十家站姐发了迪丽热巴,愚人节站姐团建",0,1,4,2024-04-01 23:59,nova5Pro人像超级夜景,"https://wx2.sinaimg.cn/large/d3167371gy1hobrubco4kj22t647sb2b.jpg,https://wx1.sinaimg.cn/large/d3167371gy1hobrwm2188j22kw3vcx6q.jpg,https://wx4.sinaimg.cn/large/d3167371gy1hobrwncgh0j21xg2w6hdt.jpg,https://wx2.sinaimg.cn/large/d3167371gy1hobrwo7jtpj222n1dshd4.jpg,https://wx1.sinaimg.cn/large/d3167371gy1hobrwozencj223u35s7wh.jpg,https://wx1.sinaimg.cn/large/d3167371gy1hobrwrmgtjj21zd2z0kjl.jpg,https://wx1.sinaimg.cn/large/d3167371gy1hobrwsiikxj21xg2w67wi.jpg,https://wx2.sinaimg.cn/large/d3167371gy1hobrwugeunj21ny2hx1kx.jpg,https://wx3.sinaimg.cn/large/d3167371gy1hobrwvir09j21xg2w67wi.jpg",,,福建,普通用户,6846211472,樱桃味LHQ,Tue Apr 02 00:14:00 +0800 2024,"饱饱真的太美啦<span class=""url-icon""><img alt=[打call] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/fb_a1dacall-1e0c4593fc.png"" style=""width:1em; height:1em;"" /></span>",1
5017413249141956,O7iZSCmeU,7306370651,青提迪子栀,迪丽热巴超话#迪奥全球品牌大使迪丽热巴#dlrb#迪丽热巴利剑玫瑰#像星辰坠落大海，像烟火燃向黑夜，像清风吹到夏日，像初雪覆盖冬天，你是点缀世界的美好@Dear-迪丽热巴#迪丽热巴开始推理吧#dlrb#迪丽热巴邓妍#迪丽热巴利剑玫瑰|邓妍@Dear-迪丽热巴,,,Dear-迪丽热巴,"迪奥全球品牌大使迪丽热巴,迪丽热巴利剑玫瑰,迪丽热巴开始推理吧,迪丽热巴邓妍",1,131,12,2024-03-30 00:00,迪丽热巴超话,"https://wx3.sinaimg.cn/large/007YsMLVly1ho8ats9cxnj30lc0lcgpx.jpg,https://wx4.sinaimg.cn/large/007YsMLVly1ho8atsrqmyj30ly0lyq7k.jpg,https://wx1.sinaimg.cn/large/007YsMLVly1ho8att5zbpj30lk0lkn1p.jpg,https://wx3.sinaimg.cn/large/007YsMLVly1ho8atto2dmj30kv0kvtce.jpg",,,新疆,黄V,7102914279,Dear_不败红玫瑰,Sat Mar 30 06:11:01 +0800 2024,"A18 “晚霞照在你身上 就是光与温柔的相遇”   𝒯𝒽𝓮 𝓈𝓊𝓃𝓈𝓮𝓉 𝓈𝒽𝒾𝓃𝓮𝓈 𝓸𝓃 𝓎𝓸𝓊, 𝒾𝓈 𝓉𝒽𝓮 𝓁𝒾𝓰𝒽𝓉 𝒶𝓃𝒹 𝓰𝓮𝓃𝓉𝓁𝓮 𝓂𝓮𝓮𝓉.<a href='/n/Dear-迪丽热巴'>@Dear-迪丽热巴</a>",1
5017413249141956,O7iZSCmeU,7306370651,青提迪子栀,迪丽热巴超话#迪奥全球品牌大使迪丽热巴#dlrb#迪丽热巴利剑玫瑰#像星辰坠落大海，像烟火燃向黑夜，像清风吹到夏日，像初雪覆盖冬天，你是点缀世界的美好@Dear-迪丽热巴#迪丽热巴开始推理吧#dlrb#迪丽热巴邓妍#迪丽热巴利剑玫瑰|邓妍@Dear-迪丽热巴,,,Dear-迪丽热巴,"迪奥全球品牌大使迪丽热巴,迪丽热巴利剑玫瑰,迪丽热巴开始推理吧,迪丽热巴邓妍",1,131,12,2024-03-30 00:00,迪丽热巴超话,"https://wx3.sinaimg.cn/large/007YsMLVly1ho8ats9cxnj30lc0lcgpx.jpg,https://wx4.sinaimg.cn/large/007YsMLVly1ho8atsrqmyj30ly0lyq7k.jpg,https://wx1.sinaimg.cn/large/007YsMLVly1ho8att5zbpj30lk0lkn1p.jpg,https://wx3.sinaimg.cn/large/007YsMLVly1ho8atto2dmj30kv0kvtce.jpg",,,新疆,黄V,7683532754,自由的一颗行星,Sat Mar 30 00:49:50 +0800 2024,【热·爱🍒A27】“不去追寻自由而生的风，那便跟随永无止尽的光”<a href='/n/Dear-迪丽热巴'>@Dear-迪丽热巴</a>,0
5017413249141956,O7iZSCmeU,7306370651,青提迪子栀,迪丽热巴超话#迪奥全球品牌大使迪丽热巴#dlrb#迪丽热巴利剑玫瑰#像星辰坠落大海，像烟火燃向黑夜，像清风吹到夏日，像初雪覆盖冬天，你是点缀世界的美好@Dear-迪丽热巴#迪丽热巴开始推理吧#dlrb#迪丽热巴邓妍#迪丽热巴利剑玫瑰|邓妍@Dear-迪丽热巴,,,Dear-迪丽热巴,"迪奥全球品牌大使迪丽热巴,迪丽热巴利剑玫瑰,迪丽热巴开始推理吧,迪丽热巴邓妍",1,131,12,2024-03-30 00:00,迪丽热巴超话,"https://wx3.sinaimg.cn/large/007YsMLVly1ho8ats9cxnj30lc0lcgpx.jpg,https://wx4.sinaimg.cn/large/007YsMLVly1ho8atsrqmyj30ly0lyq7k.jpg,https://wx1.sinaimg.cn/large/007YsMLVly1ho8att5zbpj30lk0lkn1p.jpg,https://wx3.sinaimg.cn/large/007YsMLVly1ho8atto2dmj30kv0kvtce.jpg",,,新疆,黄V,7636246366,·玫瑰屿悸提·,Sat Mar 30 00:37:49 +0800 2024,"<span class=""url-icon""><img alt=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" style=""width:1em; height:1em;"" /></span>微风轻拂，阳光微暖，山河如梦，你入我心。<a href='/n/Dear-迪丽热巴'>@Dear-迪丽热巴</a>",0
5017413249141956,O7iZSCmeU,7306370651,青提迪子栀,迪丽热巴超话#迪奥全球品牌大使迪丽热巴#dlrb#迪丽热巴利剑玫瑰#像星辰坠落大海，像烟火燃向黑夜，像清风吹到夏日，像初雪覆盖冬天，你是点缀世界的美好@Dear-迪丽热巴#迪丽热巴开始推理吧#dlrb#迪丽热巴邓妍#迪丽热巴利剑玫瑰|邓妍@Dear-迪丽热巴,,,Dear-迪丽热巴,"迪奥全球品牌大使迪丽热巴,迪丽热巴利剑玫瑰,迪丽热巴开始推理吧,迪丽热巴邓妍",1,131,12,2024-03-30 00:00,迪丽热巴超话,"https://wx3.sinaimg.cn/large/007YsMLVly1ho8ats9cxnj30lc0lcgpx.jpg,https://wx4.sinaimg.cn/large/007YsMLVly1ho8atsrqmyj30ly0lyq7k.jpg,https://wx1.sinaimg.cn/large/007YsMLVly1ho8att5zbpj30lk0lkn1p.jpg,https://wx3.sinaimg.cn/large/007YsMLVly1ho8atto2dmj30kv0kvtce.jpg",,,新疆,黄V,7731586548,巴的酸奶疙瘩63,Sat Mar 30 00:27:31 +0800 2024,晚安书颜,0
5017413249141956,O7iZSCmeU,7306370651,青提迪子栀,迪丽热巴超话#迪奥全球品牌大使迪丽热巴#dlrb#迪丽热巴利剑玫瑰#像星辰坠落大海，像烟火燃向黑夜，像清风吹到夏日，像初雪覆盖冬天，你是点缀世界的美好@Dear-迪丽热巴#迪丽热巴开始推理吧#dlrb#迪丽热巴邓妍#迪丽热巴利剑玫瑰|邓妍@Dear-迪丽热巴,,,Dear-迪丽热巴,"迪奥全球品牌大使迪丽热巴,迪丽热巴利剑玫瑰,迪丽热巴开始推理吧,迪丽热巴邓妍",1,131,12,2024-03-30 00:00,迪丽热巴超话,"https://wx3.sinaimg.cn/large/007YsMLVly1ho8ats9cxnj30lc0lcgpx.jpg,https://wx4.sinaimg.cn/large/007YsMLVly1ho8atsrqmyj30ly0lyq7k.jpg,https://wx1.sinaimg.cn/large/007YsMLVly1ho8att5zbpj30lk0lkn1p.jpg,https://wx3.sinaimg.cn/large/007YsMLVly1ho8atto2dmj30kv0kvtce.jpg",,,新疆,黄V,7731586548,巴的酸奶疙瘩63,Sat Mar 30 00:27:22 +0800 2024,人之初，性本善。 上善若水，大爱无疆。 慈心为民，善举济世。 无缘大慈，同体大悲。 众善奉行，诸恶莫做。 慈善的行为比金钱更能解除别人的痛苦。 怀有仁爱之心谓之慈，广行济困之举谓之善，慈善是仁德与善行的统一。  ,0
